id,begin,end,utterance_id,word_id,pronunciation_id
1,0.0,0.03999999910593033,1,1,1
2,0.03999999910593033,0.10000000149011612,1,3746,3994
3,0.10000000149011612,2.869999885559082,1,176101,183870
4,2.869999885559082,3.390000104904175,1,1,1
5,3.390000104904175,5.050000190734863,1,191284,199537
6,5.050000190734863,5.260000228881836,1,93987,98506
7,5.260000228881836,6.050000190734863,1,35094,36552
8,6.050000190734863,6.619999885559082,1,1,1
9,6.619999885559082,6.789999961853027,1,139360,145414
10,6.789999961853027,7.010000228881836,1,102844,107598
11,7.010000228881836,7.539999961853027,1,98269,102853
12,7.539999961853027,8.260000228881836,1,49733,52079
13,8.260000228881836,8.670000076293945,1,35017,36472
14,8.670000076293945,8.770000457763672,1,50528,52909
15,8.770000457763672,9.569999694824219,1,80132,83928
16,9.569999694824219,9.779999732971191,1,1,1
17,9.779999732971191,9.90999984741211,1,198579,207347
18,9.90999984741211,10.510000228881836,1,71953,75457
19,10.510000228881836,10.729999542236328,1,170252,177801
20,10.729999542236328,11.470000267028809,1,1,1
21,11.470000267028809,11.5600004196167,1,24371,25456
22,11.5600004196167,11.699999809265137,1,198579,207347
23,11.699999809265137,12.59000015258789,1,106308,111140
24,12.59000015258789,13.130000114440918,1,1,1
25,13.130000114440918,13.1899995803833,1,85054,89031
26,13.1899995803833,14.319999694824219,1,198568,207334
27,14.319999694824219,14.510000228881836,1,176668,184458
28,14.510000228881836,14.569999694824219,1,84691,88647
29,14.569999694824219,14.65999984741211,1,101132,105827
30,14.65999984741211,15.829999923706055,1,198568,207334
31,15.829999923706055,16.399999618530273,1,1,1
32,16.399999618530273,16.729999542236328,1,71405,74894
33,16.729999542236328,16.850000381469727,1,1,1
34,16.850000381469727,17.770000457763672,1,124915,130362
35,17.770000457763672,17.889999389648438,1,69637,73087
36,17.889999389648438,18.860000610351562,1,175734,183488
37,18.860000610351562,19.549999237060547,1,1,1
38,19.549999237060547,19.739999771118164,1,66611,69962
39,19.739999771118164,20.030000686645508,1,127542,133095
